mp-767526,93.224
mp-769599,194.252
mp-756707,97.926
mp-771066,82.306
mp-770795,93.259
mp-770829,105.498
mp-771495,42.223
mp-1220753,18.959
mp-21213,84.744
mp-755361,84.377
mp-558418,342.211
mp-770765,83.329
mp-769542,86.333
mp-768574,96.517
mp-768661,207.847
mp-771954,105.938
mp-771204,96.789
mp-756274,96.202
mp-771195,42.255
mp-771009,95.721
mp-772200,85.276
mp-771839,90.56
mp-772118,185.743
mp-770912,97.107
mp-23689,145.226
mp-770948,189.488
mp-771169,90.27
mp-770820,102.694
mp-770525,91.8
mp-3332,38.358
mp-772152,164.008
mp-756330,83.094
mp-767550,107.711
mp-769532,93.074
mp-768598,102.788
mp-779142,89.171
mp-771032,80.863
mp-770940,82.064
mp-771012,168.119
mp-772553,66.062
mp-1210177,46.163
mp-776638,85.523
mp-770821,165.573
mp-759323,49.947
mp-1176405,49.947
mp-770560,92.734
mp-771013,98.153
mp-754649,208.581
mp-769506,49.947
mp-771142,96.139
mp-17876,123.596
mp-770900,166.038
mp-776196,90.634
mp-29793,172.468
mp-18921,235.262
mp-531997,80.701
mp-760173,36.226
mp-1297798,166.238
mp-19391,253.011
mp-560778,162.975
mp-29356,146.68
mp-761084,39.921
mp-765742,166.238
mp-18846,235.262
mp-757603,11.594
mp-18528,53.111
mp-770548,92.909
mp-19328,105.175
mp-758835,50.354
mp-6467,94.548
mp-504778,192.194
mp-19367,117.989
mp-1238805,105.004
mp-768461,90.728
mp-778480,93.25
mp-770947,197.068
mp-768103,194.997
mp-26304,109.422
mp-7433,161.947
mp-25378,226.107
mp-769570,137.529
mp-637292,192.656
mp-768027,50.116
mp-560242,198.643
mp-556404,249.447
mp-1176385,50.116
mp-769529,50.116
mp-1210050,43.981
mp-769459,98.844
mp-504265,147.661
mp-22614,83.726
mp-1079436,124.118
mp-773088,49.354
mp-771487,91.971
mp-7469,261.388
mp-542864,132.389
mp-1040460,80.503
mp-772859,65.75
mp-21590,183.031
mp-246,209.629
mp-759981,82.861
mp-557171,63.001
mp-759097,204.706
mp-540496,82.861
mp-4541,226.107
mp-26316,175.603
mp-558048,85.028
mp-17999,178.766
mp-769486,98.844
mp-19844,15.696
mp-17142,107.667
mp-754584,100.954
mp-752584,65.872
mp-778605,90.801
mp-559281,123.573
mp-772662,162.891
mp-1101189,279.309
mp-1210001,44.887
mp-556822,94.548
mp-505090,147.196
mp-754549,189.377
mp-7937,148.875
mp-753652,142.237
mp-759974,62.299
mp-6465,120.173
mp-753301,98.278
mp-26500,199.853
mp-19280,87.309
mp-1013843,63.69
mp-705395,171.975
mp-32113,51.963
mp-1013797,119.87
mp-27102,159.661
mp-1220547,65.094
mp-26194,51.963
mp-19349,116.48
mp-769465,100.233
mp-584094,106.409
mp-754874,87.309
mp-568345,644.193
mp-1072712,103.663
mp-1076642,217.926
mp-25206,392.202
mp-504406,161.781
mp-683773,151.511
mp-755611,140.337
mp-26412,172.7
mp-18493,219.431
mp-19149,235.758
mp-21867,116.023
mp-19261,192.203
mp-18435,91.512
mp-26980,155.012
mp-17967,155.012
mp-1217845,53.627
mp-761068,105.667
mp-1221396,16.783
mp-3136,163.529
mp-26314,116.117
mp-759090,140.337
mp-562436,151.511
mp-849436,241.817
mp-761085,120.572
mp-26124,176.416
mp-25237,85.126
mp-1012742,54.84
mp-760012,74.662
mp-759832,156.332
mp-10224,194.127
mp-22135,191.58
mp-17461,109.483
mp-705562,81.087
mp-542710,136.142
mp-10225,194.127
mp-560506,109.483
mp-27569,186.21
mp-21996,112.782
mp-754638,69.336
mp-28649,43.656
mp-19427,214.531
mp-642750,141.904
mp-9561,194.127
mp-557716,84.123
mp-19482,93.429
mp-504165,151.717
mp-21792,112.668
mp-757229,96.214
mp-3744,181.22
mp-25270,68.064
mp-7002,260.574
mp-752583,61.234
mp-585266,195.019
mp-18999,44.703
mp-28262,114.593
mp-1012791,56.22
mp-29318,8.767
mp-540093,151.511
mp-26048,53.626
mp-1013874,57.329
mp-1062939,235.262
mp-774174,136.142
mp-759333,75.043
mp-754800,101.881
mp-753365,98.603
mp-510351,27.245
mp-19226,154.203
mp-760962,243.812
mp-25246,106.028
mp-760263,160.656
mp-25359,40.625
mp-25269,68.147
mp-504098,151.511
mp-18245,151.511
mp-25294,108.125
mp-26646,192.224
mp-19443,80.701
mp-16381,28.111
mp-755841,131.139
mp-553997,108.119
mp-19359,241.817
mp-25288,130.822
mp-759691,134.9
mp-17479,108.125
mp-19287,118.539
mp-1094113,81.017
mp-1012678,43.813
mp-19291,144.95
mp-25303,154.203
mp-31829,130.444
mp-19470,99.946
mp-18774,106.028
mp-753049,64.981
mp-752972,215.689
mp-1044234,77.39
mp-560780,169.65
mp-764934,235.758
mp-760204,13.399
mp-6761,178.829
mp-768085,104.735
mp-21966,49.387
mp-556692,53.772
mp-757528,8.204
mp-21036,243.812
mp-5449,47.507
mp-510746,62.299
mp-558049,57.177
mp-19111,130.822
mp-755035,100.624
mp-1040459,54.537
mp-18957,243.812
mp-783905,141.904
mp-562546,169.457
